Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-23,152.339996,152.339996,152.339996,152.339996,83.167435,0,0
2013-09-24,152.070007,152.070007,152.070007,152.070007,83.020027,0,1
2013-09-25,151.679993,151.679993,151.679993,151.679993,83.063835,0,2
2013-09-26,152.179993,152.179993,152.179993,152.179993,83.337654,0,3
2013-09-27,151.970001,151.970001,151.970001,151.970001,83.222664,0,4
2013-09-30,151.429993,151.429993,151.429993,151.429993,82.926918,0,5
2013-10-01,152.839996,152.839996,152.839996,152.839996,83.699081,0,6
2013-10-02,152.679993,152.679993,152.679993,152.679993,83.611473,0,7
2013-10-03,151.449997,151.449997,151.449997,151.449997,82.937881,0,8
2013-10-04,152.600006,152.600006,152.600006,152.600006,83.567657,0,9
2013-10-07,150.990005,150.990005,150.990005,150.990005,82.685959,0,10
2013-10-08,149.039993,149.039993,149.039993,149.039993,81.618111,0,11
2013-10-09,149.139999,149.139999,149.139999,149.139999,81.672859,0,12
2013-10-10,152.399994,152.399994,152.399994,152.399994,83.458099,0,13
2013-10-11,153.580002,153.580002,153.580002,153.580002,84.104332,0,14
2013-10-14,154.300003,154.300003,154.300003,154.300003,84.498589,0,15
2013-10-15,153.770004,153.770004,153.770004,153.770004,84.208359,0,16
2013-10-16,155.669998,155.669998,155.669998,155.669998,85.248848,0,17
2013-10-17,156.589996,156.589996,156.589996,156.589996,85.752678,0,18
2013-10-18,157.570007,157.570007,157.570007,157.570007,86.28936,0,19
2013-10-21,157.820007,157.820007,157.820007,157.820007,86.426262,0,20
2013-10-22,158.759995,158.759995,158.759995,158.759995,86.94101,0,21
2013-10-23,157.889999,157.889999,157.889999,157.889999,86.464607,0,22
2013-10-24,157.860001,157.860001,157.860001,157.860001,86.448158,0,23
2013-10-25,158.440002,158.440002,158.440002,158.440002,86.765785,0,24
2013-10-28,158.130005,158.130005,158.130005,158.130005,86.596001,0,25
2013-10-29,158.970001,158.970001,158.970001,158.970001,87.056023,0,26
2013-10-30,158.320007,158.320007,158.320007,158.320007,86.700066,0,27
2013-10-31,158,158,158,158,86.524849,0,28
2013-11-01,159.119995,159.119995,159.119995,159.119995,87.138161,0,29
2013-11-04,159.720001,159.720001,159.720001,159.720001,87.466759,0,30
2013-11-05,159.25,159.25,159.25,159.25,87.209343,0,31
2013-11-06,160.139999,160.139999,160.139999,160.139999,87.696754,0,32
2013-11-07,157.889999,157.889999,157.889999,157.889999,86.464607,0,33
2013-11-08,160.589996,160.589996,160.589996,160.589996,87.943192,0,34
2013-11-11,160.759995,160.759995,160.759995,160.759995,88.036247,0,35
2013-11-12,160.240005,160.240005,160.240005,160.240005,87.751518,0,36
2013-11-13,161.910004,161.910004,161.910004,161.910004,88.666031,0,37
2013-11-14,162.389999,162.389999,162.389999,162.389999,88.928909,0,38
2013-11-15,163.009995,163.009995,163.009995,163.009995,89.268433,0,39
2013-11-18,162.25,162.25,162.25,162.25,88.852211,0,40
2013-11-19,161.729996,161.729996,161.729996,161.729996,88.567482,0,41
2013-11-20,161.350006,161.350006,161.350006,161.350006,88.35936,0,42
2013-11-21,162.979996,162.979996,162.979996,162.979996,89.251976,0,43
2013-11-22,164.309998,164.309998,164.309998,164.309998,89.980354,0,44
2013-11-25,163.929993,163.929993,163.929993,163.929993,89.772247,0,45
2013-11-26,163.940002,163.940002,163.940002,163.940002,89.777718,0,46
2013-11-27,164.720001,164.720001,164.720001,164.720001,90.20488,0,47
2013-11-29,164.789993,164.789993,164.789993,164.789993,90.243195,0,48
2013-12-02,164.720001,164.720001,164.720001,164.720001,90.20488,0,49
2013-12-03,163.580002,163.580002,163.580002,163.580002,89.580566,0,50
2013-12-04,163.5,163.5,163.5,163.5,89.536766,0,51
2013-12-05,162.460007,162.460007,162.460007,162.460007,88.967224,0,52
2013-12-06,164.210007,164.210007,164.210007,164.210007,89.925591,0,53
2013-12-09,164.210007,164.210007,164.210007,164.210007,89.925591,0,54
2013-12-10,163.789993,163.789993,163.789993,163.789993,89.69558,0,55
2013-12-11,161.970001,161.970001,161.970001,161.970001,88.698883,0,56
2013-12-12,161.389999,161.389999,161.389999,161.389999,88.381294,0,57
2013-12-13,161.470001,161.470001,161.470001,161.470001,88.425072,0,58
2013-12-16,162.479996,162.479996,162.479996,162.479996,88.978172,0,59
2013-12-17,161.990005,161.990005,161.990005,161.990005,88.709862,0,60
2013-12-18,164.759995,164.759995,164.759995,164.759995,90.226776,0,61
2013-12-19,164.729996,164.729996,164.729996,164.729996,90.454666,0,62
2013-12-20,165.389999,165.389999,165.389999,165.389999,90.817085,0,63
2013-12-23,166.130005,166.130005,166.130005,166.130005,91.223427,0,64
2013-12-24,166.789993,166.789993,166.789993,166.789993,91.585815,0,65
2013-12-26,167.619995,167.619995,167.619995,167.619995,92.041588,0,66
2013-12-27,168.160004,168.160004,168.160004,168.160004,92.338104,0,67
2013-12-30,168.110001,168.110001,168.110001,168.110001,92.310623,0,68
2013-12-31,168.869995,168.869995,168.869995,168.869995,92.727928,0,69
2014-01-02,167.25,167.25,167.25,167.25,91.838394,0,70
2014-01-03,167.5,167.5,167.5,167.5,91.975708,0,71
2014-01-06,167.169998,167.169998,167.169998,167.169998,91.794495,0,72
2014-01-07,167.880005,167.880005,167.880005,167.880005,92.184349,0,73
2014-01-08,167.679993,167.679993,167.679993,167.679993,92.074524,0,74
2014-01-09,167.630005,167.630005,167.630005,167.630005,92.047066,0,75
2014-01-10,167.949997,167.949997,167.949997,167.949997,92.222786,0,76
2014-01-13,165.899994,165.899994,165.899994,165.899994,91.097099,0,77
2014-01-14,167.759995,167.759995,167.759995,167.759995,92.118446,0,78
2014-01-15,168.949997,168.949997,168.949997,168.949997,92.771904,0,79
2014-01-16,168.940002,168.940002,168.940002,168.940002,92.766396,0,80
